,Название,Срок созревания,Масса дыни,Форма плода дыни
0,Дыня Желтый мяч,Раннеспелый,более 2 кг,Овальная
1,Дыня Дюна,Раннеспелый,"1,5-2 кг",Овальная
2,Дыня Узбечка,Среднеспелый,более 2 кг,Овальная
3,Дыня Сладкий изумруд,Среднеспелый,"до 1,5 кг",Круглая
4,Дыня Подмосковное угощение,Среднеспелый,"1,5-2 кг",Круглая
5,Дыня Динара,Среднеспелый,более 2 кг,Овальная
6,Дыня Алиса,Среднеспелый,более 2 кг,Овальная
7,Дыня Бест Джумбо,Среднеспелый,"1,5-2 кг",Круглая
8,Дыня Ранняя 133,Раннеспелый,более 2 кг,Круглая
9,Дыня Золотая торпеда,Среднеспелый,более 2 кг,Овальная
10,Дыня Люкс-87,Ультраскороспелый,"1,5-2 кг",Овальная
11,Дыня Солнечный бриз,Среднеспелый,более 2 кг,Овальная
12,Дыня Каталония,Раннеспелый,"1,5-2 кг",Круглая
13,Дыня Подарок солнца,Среднеспелый,"1,5-2 кг",Круглая
14,Дыня Услада,Среднеспелый,более 2 кг,Круглая
15,Дыня Солнечный сахар,Раннеспелый,"1,5-2 кг",Круглая
16,Дыня Сладкоежка,Среднеспелый,"1,5-2 кг",Овальная
17,Дыня Нектарин,Среднеспелый,более 2 кг,Овальная
18,Дыня Милана,Среднеспелый,"1,5-2 кг",Круглая
19,Дыня Медуница,Среднеспелый,"1,5-2 кг",Овальная
20,Дыня Медовые соты,Среднеспелый,более 2 кг,Круглая
21,Дыня Медовка,Среднеспелый,более 2 кг,Овальная
22,Дыня Медовая сказка,Среднеспелый,более 2 кг,Круглая
23,Дыня Медовая лакомка,Среднеспелый,"1,5-2 кг",Круглая
24,Дыня Маркиза,Раннеспелый,"1,5-2 кг",Овальная
25,Дыня Лолита,Раннеспелый,"1,5-2 кг",Круглая
26,Дыня Лакомка,Среднеспелый,"1,5-2 кг",Круглая
27,Дыня Ладушка,Раннеспелый,"до 1,5 кг",Овальная
28,Дыня Лада,Среднеспелый,"1,5-2 кг",Круглая
29,Дыня Колхозница 749/753,Среднеспелый,"до 1,5 кг",Круглая
30,Дыня Карамель,Раннеспелый,"1,5-2 кг",Овальная
31,Дыня Золотой нектар,Раннеспелый,"1,5-2 кг",Круглая
32,Дыня Золотистая,Среднеспелый,"1,5-2 кг",Круглая
